control_id,family,title,control_text,discussion,enhancements
SC-17,System and Communications Protection,Public Key Infrastructure Certificates,Issue public key certificates under an appropriate certificate policy or obtain public key certificates from an approved service provider.,Public key infrastructure certificates are certificates with visibility external to organizational systems.,None
SC-18,System and Communications Protection,Mobile Code,"(a) Define acceptable and unacceptable mobile code and mobile code technologies; and (b) Authorize, monitor, and control the use of mobile code within the system.",Mobile code technologies include Java JavaScript ActiveX Postscript PDF Flash and VBScript.,None
SC-20,System and Communications Protection,Secure Name/Address Resolution Service (Authoritative Source),"(a) Provide additional data origin authentication and integrity verification artifacts along with the authoritative name resolution data the system returns in response to external name/address resolution queries; and (b) Provide the means to indicate the security status of child zones and enable verification of a chain of trust.",Providing authoritative source information enables external clients to obtain origin authentication and integrity verification.,None
SC-21,System and Communications Protection,Secure Name/Address Resolution Service (Recursive or Caching Resolver),Request and perform data origin authentication and data integrity verification on the name/address resolution responses the system receives from authoritative sources.,Each client of name resolution services either performs this validation on its own or has authenticated channels to trusted validation providers.,None
SC-22,System and Communications Protection,Architecture and Provisioning for Name/Address Resolution Service,"Ensure the systems that collectively provide name/address resolution service for an organization are fault-tolerant and implement internal/external role separation.",Systems that provide name/address resolution services include DNS servers.,None
SC-23,System and Communications Protection,Session Authenticity,Protect the authenticity of communications sessions.,Protecting session authenticity addresses communications protection at the session level.,None
SC-28,System and Communications Protection,Protection of Information at Rest,"Protect the [Selection (one or more): confidentiality; integrity] of the following information at rest: [organization-defined information at rest].",Information at rest refers to the state of information when it is not in process or in transit.,SC-28(01): Cryptographic protection.
SC-39,System and Communications Protection,Process Isolation,Maintain a separate execution domain for each executing system process.,Systems can maintain separate execution domains for each executing process by assigning each process a separate address space.,None
SI-01,System and Information Integrity,Policy and Procedures,"Develop document and disseminate system and information integrity policy and procedures.",System and information integrity policy and procedures address the controls in the SI family.,None
SI-02,System and Information Integrity,Flaw Remediation,"(a) Identify, report, and correct system flaws; (b) Test software and firmware updates related to flaw remediation for effectiveness and potential side effects before installation; (c) Install security-relevant software and firmware updates within [organization-defined time period] of the release of the updates; and (d) Incorporate flaw remediation into the organizational configuration management process.",The need to remediate system flaws applies to all types of software and firmware.,SI-02(02): Automated flaw remediation status; SI-02(03): Time to remediate flaws and benchmarks for corrective actions.
SI-03,System and Information Integrity,Malicious Code Protection,"(a) Implement [Selection (one or more): signature-based; non-signature-based] malicious code protection mechanisms at system entry and exit points to detect and eradicate malicious code; (b) Automatically update malicious code protection mechanisms as new releases are available; (c) Configure malicious code protection mechanisms to perform periodic scans and real-time scans; and (d) Address the receipt of false positives and resulting potential impact.",System entry and exit points include firewalls remote-access servers workstations electronic mail servers web servers proxy servers and notebook computers.,SI-03(01)-SI-03(10): Central management; automatic updates; non-privileged users.
SI-04,System and Information Integrity,System Monitoring,"(a) Monitor the system to detect attacks and indicators of potential attacks and unauthorized connections; (b) Identify unauthorized use of the system through monitoring techniques and methods; (c) Invoke internal monitoring capabilities or deploy monitoring devices strategically; (d) Analyze detected events and anomalies; (e) Adjust the level of system monitoring activity when there is a change in risk; (f) Obtain legal opinion regarding system monitoring activities; and (g) Provide system monitoring information to defined personnel or roles.",System monitoring includes external and internal monitoring.,SI-04(01)-SI-04(25): System-wide intrusion detection; automated tools; inbound and outbound communications traffic; wireless intrusion detection.
SI-05,System and Information Integrity,Security Alerts Advisories and Directives,"(a) Receive system security alerts, advisories, and directives from [organization-defined external organizations] on an ongoing basis; (b) Generate internal security alerts, advisories, and directives as deemed necessary; (c) Disseminate security alerts, advisories, and directives to defined personnel; and (d) Implement security directives in accordance with established time frames.",Security alerts and advisories provide important information about security issues.,SI-05(01): Automated alerts and advisories.
SI-10,System and Information Integrity,Information Input Validation,Check the validity of the following information inputs: [organization-defined information inputs to the system].,Checking the valid syntax and semantics of system inputs is important for correct operation of the system.,None
SI-11,System and Information Integrity,Error Handling,"(a) Generate error messages that provide information necessary for corrective actions without revealing information that could be exploited; and (b) Reveal error messages only to [organization-defined personnel or roles].",Organizations consider the structure and content of error messages.,None
SI-12,System and Information Integrity,Information Management and Retention,"Manage and retain information within the system and information output from the system in accordance with applicable laws, executive orders, directives, regulations, policies, standards, guidelines, and operational requirements.",Information management and retention requirements cover the full life cycle of information.,None
SI-16,System and Information Integrity,Memory Protection,Implement the following controls to protect the system memory from unauthorized code execution: [organization-defined controls].,Some adversaries launch attacks with the intent of executing code in non-executable regions of memory or in memory locations that are prohibited.,None
SR-01,Supply Chain Risk Management,Policy and Procedures,"Develop document and disseminate supply chain risk management policy and procedures.",Supply chain risk management policy and procedures address the controls in the SR family.,None
SR-02,Supply Chain Risk Management,Supply Chain Risk Management Plan,"(a) Develop a plan for managing supply chain risks associated with the research and development, design, manufacturing, acquisition, delivery, integration, operations and maintenance, and disposal of [organization-defined systems, system components, or system services]; (b) Review and update the supply chain risk management plan [organization-defined frequency].",Supply chain risk management plans address risks associated with the global and distributed nature of product and service supply chains.,None
SR-03,Supply Chain Risk Management,Supply Chain Controls and Processes,"(a) Establish a process or processes to identify and address weaknesses or deficiencies in the supply chain elements and processes; (b) Employ [organization-defined supply chain controls] to protect against supply chain risks; and (c) Document the selected and implemented supply chain processes and controls.",Supply chain elements include organizations entities or tools employed for the research and development design manufacturing acquisition delivery integration and maintenance of systems.,None
SR-05,Supply Chain Risk Management,Acquisition Strategies Plans and Processes,"Employ acquisition strategies, contract tools, and procurement methods to protect against, identify, and mitigate supply chain risks.",The use of acquisition and procurement processes by organizations early in the system development life cycle provides an important vehicle to protect the supply chain.,None
SR-06,Supply Chain Risk Management,Supplier Assessments and Reviews,"Assess and review the supply chain-related risks associated with suppliers or contractors and the system, system component, or system service they provide [organization-defined frequency].",An assessment and review of supplier risk includes security and supply chain risk management processes.,None
SR-08,Supply Chain Risk Management,Notification Agreements,"Establish agreements and procedures with entities involved in the supply chain for the system for notification of supply chain compromises and results of assessments or audits.",The establishment of agreements and procedures facilitates communications among supply chain entities.,None
SR-10,Supply Chain Risk Management,Inspection of Systems or Components,"Inspect [organization-defined systems or system components] [Selection (one or more): at random; at [organization-defined frequency]; upon [organization-defined indications of need for inspection]] to detect tampering.",The inspection of systems or system components for tampering addresses both physical and logical tampering.,None
SR-11,Supply Chain Risk Management,Component Authenticity,"(a) Develop and implement anti-counterfeit policy and procedures that include the means to detect and prevent counterfeit components from entering the system; and (b) Report counterfeit system components to [organization-defined external reporting organizations].",Sources of counterfeit components include manufacturers distributors and vendors in the supply chain.,SR-11(01)-SR-11(02): Anti-counterfeit training; configuration control for component service and repair.
SR-12,Supply Chain Risk Management,Component Disposal,"Dispose of [organization-defined data, documentation, tools, or system components] using the following techniques and methods: [organization-defined techniques and methods].",Data documentation tools or system components can be disposed of at any time during the system development life cycle.,None
